ZTFID,IAUID,host_redshift
ZTF19abeloei,SN2019kyz,0.06
ZTF19abetjcx,SN2019kvq,0.058
ZTF19abexfad,SN2019lfw,0.046
ZTF19abeytzv,SN2019lfh,0.07
ZTF19abfaqqo,SN2019lfb,0.1
ZTF19abfdsbu,SN2019lfe,0.092
ZTF19abfdszw,SN2019lfv,0.041699
ZTF19abfibel,SN2019kyx,0.04529
ZTF19abfvhlx,SN2019ldf,0.056384
ZTF19abfvovo,SN2019loy,0.08
ZTF19abfwtkw,SN2019lcn,0.11
ZTF19abgafkt,SN2023vof,0.078
ZTF19abgbkwv,SN2019lop,0.09
ZTF19abgcbey,SN2019lks,0.075
ZTF19abgfrbl,SN2019lnw,0.092
ZTF19abggnnp,SN2019lal,0.079
ZTF19abgjlef,SN2019lky,0.058
ZTF19abgmxwn,SN2019mbx,0.08
ZTF19abgnuri,SN2019lkt,0.07
ZTF19abgppki,SN2019lpd,0.0617
ZTF19abgprpq,SN2019lmh,0.05
ZTF19abgqvyr,SN2019lmn,0.1
ZTF19abgqwed,SN2019lve,0.0786
ZTF19abgrcxs,SN2019lnm,0.0825
ZTF19abgsyrp,SN2019lsc,0.035
ZTF19abguzsx,SN2019lqz,0.09083
ZTF19abhbjge,SN2019lpu,0.038283
ZTF19abhdlxp,SN2019lmq,0.05
ZTF19abhdqlq,SN2019lsd,0.068
ZTF19abheamc,SN2019lsu,0.037
ZTF19abhhocz,SN2019lsw,0.1
ZTF19abhiayh,SN2019lno,0.09
ZTF19abhjhes,SN2019mac,0.08
ZTF19abhphah,SN2019lur,0.09
ZTF19abhpvfq,SN2019lqv,0.033566
ZTF19abhxllw,SN2019lrc,0.041
ZTF19abhzdjp,SN2019mby,0.1
ZTF19abhzewi,SN2019lyb,0.036876
ZTF19abhztqq,SN2019lsp,0.1
ZTF19abiahik,SN2019mad,0.033
ZTF19abidfsb,SN2019mal,0.083
ZTF19abidfxd,SN2019lsg,0.054
ZTF19abimkwn,SN2019lvi,0.059
ZTF19abimlck,SN2019lvf,0.048083
ZTF19abimzvh,SN2019mol,0.08
ZTF19abinjcy,SN2019mdw,0.08
ZTF19abipmfl,SN2019mav,0.077
ZTF19abisbgx,SN2019mew,0.085
ZTF19abitbcj,SN2019lwe,0.038
ZTF19abitljz,SN2019lxd,0.08
ZTF19abixauz,SN2019mcb,0.09
ZTF19abjamgc,SN2019mbe,0.07
ZTF19abjibet,SN2019mbi,0.0515
ZTF19abjozed,SN2019moh,0.08
ZTF19abjpelp,SN2019lxo,0.065
ZTF19abjpkdz,SN2019mbm,0.056436
ZTF19abjslyw,SN2019mgx,0.0443
ZTF19abkdrir,SN2019mfv,0.083
ZTF19abkftvd,SN2021zqo,0.067
ZTF19abkjbur,SN2024uvz,0.056
ZTF19abkrbjt,SN2020lit,0.062549
ZTF19abkrlew,SN2025vqv,0.07
ZTF19abkromi,SN2022jwy,0.06
ZTF19ablekwo,SN2019mse,0.09
ZTF19ablfaey,SN2019mon,0.074
ZTF19ablfcjr,SN2019njw,0.0831
ZTF19ablovot,SN2019mga,0.04
ZTF19ablpnmk,SN2019msg,0.06
ZTF19ablqnuw,SN2019mjy,0.041
ZTF19ablrkfz,SN2019ntl,0.103
ZTF19ablusdf,SN2019njx,0.057
ZTF19abmolyr,SN2019mrw,0.031375
ZTF19abmpoxa,SN2019mtp,0.063
ZTF19abmugyh,SN2022tae,0.054
ZTF19abmylxw,SN2019mue,0.041
ZTF19abmzmom,SN2019mvi,0.057
ZTF19abmzord,SN2019mwk,0.06
ZTF19abnggdt,SN2023ung,0.037798
ZTF19abnhegb,SN2019qla,0.067414
ZTF19abnimpq,SN2019myl,0.0705
ZTF19abnishu,SN2019mxf,0.091
ZTF19abnkrcd,SN2019mym,0.075
ZTF19abnktws,SN2019mrj,0.0763
ZTF19abnmrqt,SN2019mvj,0.08
ZTF19abnoxud,SN2019myw,0.05677
ZTF19abocled,SN2019neg,0.075
ZTF19abomiel,SN2019mxx,0.066
ZTF19abopyyu,SN2019nez,0.07
ZTF19abornyn,SN2019nhy,0.06
ZTF19abotfag,SN2019onc,0.1
ZTF19aboudfp,SN2019nwl,0.083
ZTF19abovtfk,SN2019myu,0.076
ZTF19abowcic,SN2019ncd,0.081
ZTF19aboxjlj,SN2019nwn,0.07
ZTF19abozuxh,SN2019osm,0.063
ZTF19abpbbxx,SN2019nft,0.059
ZTF19abpbmli,SN2019nlh,0.037
ZTF19abpbvsk,SN2019nvu,0.09
ZTF19abpelgt,SN2019nlk,0.077
ZTF19abpfxfs,SN2019nrn,0.054
ZTF19abpgggu,SN2019nli,0.0491
ZTF19abplfxs,SN2019njp,0.049
ZTF19abpmetl,SN2019qgb,0.068
ZTF19abpqfvo,SN2025afty,0.04
ZTF19abpxcaf,SN2019one,0.063
ZTF19abpxttd,SN2019olx,0.076
ZTF19abpyjqx,SN2019nwx,0.054
ZTF19abpztlw,SN2019oeo,0.065
ZTF19abpzuzd,SN2019okb,0.064
ZTF19abqanpy,SN2019nuc,0.043
ZTF19abqgrht,SN2019odm,0.08
ZTF19abqgzea,SN2019onb,0.049
ZTF19abqhikf,SN2019nvv,0.04
ZTF19abqimia,SN2019odd,0.081
ZTF19abqirpa,SN2019nvp,0.09
ZTF19abqjypm,SN2019onp,0.082
ZTF19abqkpoi,SN2019ode,0.0788
ZTF19abqmjdq,SN2019nxc,0.067
ZTF19abqmpsr,SN2019oml,0.033
ZTF19abqqcyo,SN2019oke,0.06934
ZTF19abqqmui,SN2019ojv,0.05
ZTF19abqqvhd,SN2019ocu,0.04
ZTF19abqsvgf,SN2019odh,0.053654
ZTF19abqviuy,SN2019obt,0.056
ZTF19abqxhhr,SN2019obw,0.075
ZTF19abqykyd,SN2019oln,0.08
ZTF19abrcvzz,SN2019pjw,0.073
ZTF19abrogbl,SN2019omi,0.0358
ZTF19abrsssx,SN2019ons,0.037
ZTF19abrsuah,SN2019ost,0.073
ZTF19abrvagn,SN2019plb,0.075
ZTF19absfopz,SN2019ovi,0.089
ZTF19absymnz,SN2023uqw,0.07683093
ZTF19abszdld,SN2019aatt,0.088
ZTF19abtcapa,SN2019wbm,0.07
ZTF19abtnbtt,SN2019owq,0.065
ZTF19abtnftd,SN2019ozu,0.08
ZTF19abtsrup,SN2019owu,0.035
ZTF19abtulak,SN2019phb,0.096
ZTF19abuayqg,SN2019pgb,0.11
ZTF19abuazly,SN2019pjz,0.08
ZTF19abuclhk,SN2019pgv,0.05
ZTF19abucvgu,SN2019pbp,0.05
ZTF19abuhlxk,SN2019pdx,0.02
ZTF19abujhgm,SN2019pfl,0.06
ZTF19abulzlj,SN2019pjt,0.1167
ZTF19abuonnx,SN2019ozj,0.09
ZTF19abuxhqc,SN2019pkd,0.07
ZTF19abuzpmr,SN2019pmo,0.065
ZTF19abvalfd,SN2019pfe,0.02
ZTF19abvanim,SN2019pff,0.06
ZTF19abvgnxg,SN2019pkf,0.11
ZTF19abvgwvp,SN2019plw,0.13
ZTF19abvhduf,SN2019phj,0.029
ZTF19abvhkst,SN2019pki,0.068
ZTF19abvjcii,SN2019pny,0.056
ZTF19abvjdfc,SN2019pkc,0.096
ZTF19abwaohs,SN2019pnw,0.07
ZTF19abwnpus,SN2019pnz,0.05
ZTF19abwouqp,SN2019poc,0.075
ZTF19abwscog,SN2019poe,0.056179
ZTF19abwsdic,SN2019pue,0.1
ZTF19abwsecm,SN2019pmd,0.022019
ZTF19abwswzb,SN2019pkg,0.041
ZTF19abwsxug,SN2019pyd,0.083
ZTF19abxdnhr,SN2019prt,0.054
ZTF19abxdnzt,SN2019pru,0.044
ZTF19abxfhrq,SN2019prw,0.047429
ZTF19abxfunp,SN2019ptv,0.038
ZTF19abxigfc,SN2019pmw,0.059
ZTF19abxihut,SN2019pmy,0.086
ZTF19abxiqqm,SN2019pow,0.08
ZTF19abxjimu,SN2019pxo,0.017519
ZTF19abxmvcq,SN2021acsz,0.1
ZTF19abxtdgh,SN2019pzr,0.047696
ZTF19abxvles,SN2019ppe,0.064
ZTF19abycslo,SN2019pva,0.091
ZTF19abyflzw,SN2019qmm,0.13
ZTF19abyhxzp,SN2019qic,0.086
ZTF19abyigib,SN2019qff,0.063
ZTF19abyikbv,SN2019pxd,0.017129
ZTF19abyjhpz,SN2019qbx,0.096
ZTF19abyjjxp,SN2019qcj,0.04
ZTF19abylxyt,SN2019qid,0.0533
ZTF19abymhad,SN2019pzb,0.13
ZTF19abymvpq,SN2019qeo,0.06
ZTF19abywduc,SN2019qie,0.08
ZTF19abzfmak,SN2019qfq,0.05
ZTF19abzhfjj,SN2019qjj,0.068
ZTF19abzhvxk,SN2019qgf,0.083
ZTF19abzhzet,SN2019qgg,0.05872
ZTF19abzkexb,SN2019qhl,0.083
ZTF19abzkiuv,SN2019qjb,0.059
ZTF19abzkyjy,SN2019qhm,0.099
ZTF19abzlmwn,SN2019qhp,0.026
ZTF19abzlsbl,SN2019qih,0.03
ZTF19abzplvm,SN2019qlx,0.103
ZTF19abzqkdz,SN2019qii,0.096
ZTF19abzrjrg,SN2019rkh,0.07
ZTF19abzsitm,SN2019qky,0.063454
ZTF19abzsjpn,SN2019qul,0.07
ZTF19abzulhk,SN2019qwi,0.054
ZTF19abzvyew,SN2019qlu,0.09
ZTF19abzwtiu,SN2019rqn,0.0703
ZTF19abzyiba,SN2019qug,0.091
ZTF19abzzgec,SN2019qpn,0.08
ZTF19abzzhgx,SN2019qnp,0.065
ZTF19abzzhsa,SN2019qvy,0.041
ZTF19acaiylt,SN2019qpr,0.07
ZTF19acaotrk,SN2019qwp,0.075
ZTF19acapeun,SN2019qym,0.019917
ZTF19acardcs,SN2019rqh,0.076
ZTF19acasiwm,SN2019rny,0.07327
ZTF19acaxcwg,SN2019rhj,0.037
ZTF19acazaug,SN2019rhx,0.025414
ZTF19acazbqm,SN2019roz,0.03
ZTF19acbacvu,SN2019rij,0.048
ZTF19acbkczc,SN2019rhm,0.0326
ZTF19acbkyma,SN2019sgo,0.096
ZTF19acblnop,SN2019rev,0.062173
ZTF19acblzux,SN2019rlq,0.035932
ZTF19acbmjrp,SN2019rnm,0.085
ZTF19acbmqpu,SN2019rlx,0.041
ZTF19acbmwtc,SN2019rlz,0.094
ZTF19acbmxxh,SN2019rmb,0.101
ZTF19acbnhkd,SN2019rsp,0.067
ZTF19acbpnii,SN2019rwt,0.06
ZTF19acbpqvc,SN2019rpr,0.03
ZTF19acbpwwg,SN2019rwf,0.09
ZTF19acbpzir,SN2019rqb,0.066
ZTF19acbqzvu,SN2019san,0.065
ZTF19acbrola,SN2019rve,0.126
ZTF19acbswdq,SN2019rmr,0.0667
ZTF19acbunmk,SN2019rpe,0.028
ZTF19acbvnaw,SN2019rvl,0.09372
ZTF19acbvquo,SN2019tai,0.106
ZTF19acbvrhb,SN2019rpc,0.075405
ZTF19acchink,SN2019sce,0.08598
ZTF19acchjle,SN2019rsx,0.072
ZTF19acchtyp,SN2019tah,0.06
ZTF19accjnpz,SN2019sdh,0.092
ZTF19acckggd,SN2019scv,0.08
ZTF19acclzaw,SN2019sfv,0.067193
ZTF19accmboe,SN2019sen,0.046
ZTF19accmxtw,SN2019ruh,0.058
ZTF19accobqx,SN2019sik,0.1
ZTF19accstol,SN2019sew,0.083
ZTF19acctpgd,SN2019sls,0.09
ZTF19accuyyg,SN2019seo,0.08
ZTF19acdgwhq,SN2017gcd,
ZTF19acdihrz,SN2019sck,0.066
ZTF19acdisjm,SN2019shu,0.057123
ZTF19acdjiml,SN2019scw,0.1
ZTF19acdsqir,SN2019sxd,
ZTF19acdtmwh,SN2019sfj,0.070028
ZTF19acdtpow,SN2019skr,0.075
ZTF19acdubmt,SN2019sks,0.092
ZTF19acdxlns,SN2019sqj,0.069
ZTF19acechlg,SN2019taw,0.056
ZTF19aceidtc,SN2019syd,0.024
ZTF19acekbyz,SN2019sla,0.078
ZTF19acelcan,SN2019slq,0.044
ZTF19acennqf,SN2019smg,0.050055
ZTF19aceqxtg,SN2019tjb,0.067
ZTF19acetxvq,SN2019soh,0.041
ZTF19acetzrc,SN2021abko,0.015908
ZTF19aceuacu,SN2019sqk,0.098
ZTF19acexijn,SN2019spa,0.02
ZTF19acfecsg,SN2019syf,0.07
ZTF19acfmwlh,SN2019sud,0.05
ZTF19acfrntd,SN2019szc,0.107
ZTF19acfsqjx,SN2019syl,0.055
ZTF19acftaml,SN2019spi,0.1
ZTF19acfthre,SN2019ssj,0.038
ZTF19acfxbki,SN2019stx,0.058
ZTF19acgaxej,SN2019suc,0.07
ZTF19acgbzam,SN2019tbb,0.07
ZTF19acgcdas,SN2019sys,0.07
ZTF19acgcxop,SN2019tak,0.086
ZTF19acgdfjt,SN2019sup,0.035
ZTF19acgdxel,SN2019tve,0.102
ZTF19acgeabh,SN2019swk,0.08
ZTF19acgemzm,SN2019sye,0.08
ZTF19acgfowd,SN2019tex,0.107
ZTF19acgjnfz,SN2019sxm,0.05
ZTF19acgjohb,SN2019tjc,0.074
ZTF19acgjojy,SN2019tjg,0.08
ZTF19acgjuua,SN2019syj,0.0829
ZTF19acgmkrt,SN2019tag,0.0704
ZTF19acgogcm,SN2019tiz,0.038
ZTF19acgonwy,SN2019spg,0.073
ZTF19acgpqxt,SN2019tht,0.09
ZTF19acgqjln,SN2019tfa,0.05
ZTF19acgrbeb,SN2019tdl,0.38
ZTF19achagst,SN2019tbo,0.068839
ZTF19achahea,SN2019sua,0.045347
ZTF19achajnc,SN2019ttw,0.09
ZTF19achetvw,SN2019tkn,0.043
ZTF19achtewn,SN2019tdw,0.096184
ZTF19achvpik,SN2019uao,0.08
ZTF19acifuyf,SN2019tmu,0.038
ZTF19acihlft,SN2019tkb,0.02
ZTF19acitkzs,SN2019tmp,0.087
ZTF19acitnck,SN2019tmq,0.04
ZTF19acjdufa,SN2019tok,0.08
ZTF19acjdwqv,SN2019toi,0.049
ZTF19acjfhom,SN2019tpg,0.065
ZTF19acjnatv,SN2019tvq,0.098
ZTF19acjnaxa,SN2019tgg,0.0894
ZTF19acjtkha,SN2019tpy,0.028833
ZTF19acjuomg,SN2019tst,0.106
ZTF19acjwqvo,SN2019uay,0.049
ZTF19ackbjtf,SN2019tns,0.09
ZTF19ackjlrd,SN2019uaa,0.1
ZTF19ackjmge,SN2019tqr,0.048917
ZTF19ackjnuq,SN2019tjn,0.06
ZTF19aclhnkd,SN2019tue,0.085
ZTF19aclkbqc,SN2019ujs,0.062
ZTF19aclljyq,SN2019tut,0.079
ZTF19aclofmz,SN2019uaf,0.031
ZTF19aclthzj,SN2019typ,0.1
ZTF19aclyezb,SN2019tyw,0.078
ZTF19acmbhvv,SN2019aaby,0.062406
ZTF19acmbiad,SN2019twn,0.112
ZTF19acmbjvi,SN2019two,0.073
ZTF19acmbkmr,SN2019twe,0.105
ZTF19acmblbi,SN2019twb,0.032
ZTF19acmvrsw,SN2019tyg,0.042
ZTF19acmwkul,SN2019tzg,0.074447
ZTF19acmywjc,SN2019ugo,0.057029
ZTF19acnfjyw,SN2019ubt,0.069
ZTF19acngsnb,SN2019udj,0.11
ZTF19acnjwgm,SN2019ubs,0.034
ZTF19acnkeji,SN2019uen,0.04
ZTF19acnqsui,SN2019uhl,0.08
ZTF19acnzkph,SN2019udk,0.017892
ZTF19acoaoty,SN2019uiq,0.08
ZTF19acojxzo,SN2019uet,0.062283
ZTF19acokufi,SN2019ujd,0.084
ZTF19acokzjy,SN2019ueg,0.065138
ZTF19acpgaet,SN2019ulu,0.066
ZTF19acpmuwu,SN2019uir,0.066
ZTF19acqehbt,SN2019ujn,0.055001
ZTF19acqxoll,SN2019ulm,0.083
ZTF19acqypso,SN2019uwp,0.07
ZTF19acrbyzj,SN2019ulp,0.030224
ZTF19acrdqej,SN2019ulw,0.044
ZTF19acruqph,SN2019uql,0.079
ZTF19acrwzqs,SN2019uuk,0.104
ZTF19acsfvog,SN2019uxp,0.115
ZTF19acshfvz,SN2019uhp,0.04
ZTF19acshkft,SN2019uze,0.117
ZTF19actldas,SN2019vdg,0.038
ZTF19actuafw,SN2019veq,0.079
ZTF19acuitcy,SN2019vqb,0.1
ZTF19acukcte,SN2019vcd,0.07
ZTF19acuybzx,SN2019wch,0.03
ZTF19acvgjme,SN2019vyl,0.07
ZTF19acvijnj,SN2019vpz,0.05
ZTF19acvlycr,SN2019vpo,0.083
ZTF19acvrigb,SN2019vkz,0.02805
ZTF19acvtvlo,SN2019vsj,0.0416
ZTF19acvwllm,SN2019waa,0.08
ZTF19acwiqrc,SN2020zcg,0.048
ZTF19acwqvvn,SN2020sox,0.0645
ZTF19acwrujg,SN2019wac,0.06
ZTF19acxguhd,SN2019vrt,0.0761
ZTF19acxmiyh,SN2019wla,0.05
ZTF19acxmmys,SN2019wjl,0.063
ZTF19acxndsk,SN2019wiq,0.04796
ZTF19acxnemy,SN2019wce,0.07
ZTF19acxovkl,SN2019wcd,0.06
ZTF19acxovyh,SN2019vro,0.033
ZTF19acxozhr,SN2019wgx,0.1
ZTF19acxphhl,SN2019wej,0.07322
ZTF19acxyfkf,SN2019wuz,0.04
ZTF19acxyumq,SN2019wvc,0.04
ZTF19acyfkbf,SN2019wmj,0.059555
ZTF19acygjgx,SN2019xap,0.069
ZTF19acygjmg,SN2019wmu,0.06
ZTF19acyitga,SN2019wmn,0.06993
ZTF19acykjcw,SN2019wps,0.0318
ZTF19acykqyr,SN2019wwk,0.06
ZTF19acyksfd,SN2019wpy,0.064
ZTF19acynije,SN2019wup,0.02
ZTF19acyogvo,SN2019wvr,0.073
ZTF19acyqdxa,SN2019xds,0.095
ZTF19acyqwlm,SN2019wyq,0.03
ZTF19acytidb,SN2019wwh,0.03056
ZTF19aczjsqn,SN2019wyw,0.089
ZTF19aczllns,SN2019wzy,0.075
ZTF19aczrmvs,SN2019xco,0.08
ZTF19adafqoe,SN2019xcj,0.09
ZTF19adaiyrd,SN2019xbf,0.0669
ZTF19adajivt,SN2019xbi,0.095
ZTF19adajqcq,SN2019xbu,0.085
ZTF19adajqsp,SN2019xbo,0.074685
ZTF19adbfhal,SN2019xhh,0.069
ZTF19adbmgdk,SN2022snr,0.066
ZTF19adbmwto,SN2019zcd,0.1
ZTF19adbnfne,SN2019zrg,0.06
ZTF19adbnlki,SN2019ywf,0.039
ZTF19adbpulv,SN2019yzi,0.031388
ZTF19adbricc,SN2019zro,0.09
ZTF19adbsfpf,SN2019zrq,0.059
ZTF19adcbpcj,SN2019zrh,0.074
ZTF19adcdgca,SN2019zbq,0.0468
ZTF19adcdtkw,SN2019zev,0.082
ZTF19adcdtyy,SN2019zho,0.072
ZTF19adcdzjm,SN2019zab,0.081134
ZTF19adcecwu,SN2019yvq,0.009
ZTF19adcetym,SN2019zrs,0.0652
ZTF19adcfsdr,SN2019zcq,0.0748
ZTF19adguxmv,SN2023dwj,0.05527
ZTF19adjvjqi,SN2024sve,0.0575
ZTF20aaactgu,SN2020G,0.065
ZTF20aaavvlv,SN2020hr,0.0821
ZTF20aaaxacu,SN2019zjh,0.0221
ZTF20aaaxrad,SN2020ht,0.065
ZTF20aaayaet,SN2020cc,0.08557
ZTF20aabbvcx,SN2020oz,0.077
ZTF20aabcouv,SN2020ap,0.04
ZTF20aabqamf,SN2019ycb,0.046
ZTF20aabqdbo,SN2020dg,0.025584
ZTF20aabqiiy,SN2020bc,0.082
ZTF20aabqisb,SN2020kq,0.0513
ZTF20aabqjht,SN2020bm,0.213
ZTF20aacbtgq,SN2020nr,0.0629
ZTF20aacdfep,SN2020dd,0.058561
ZTF20aacevxq,SN2020du,0.020888
ZTF20aacwxut,SN2020mx,0.08
ZTF20aadcdzj,SN2020kt,0.1
ZTF20aadcitq,SN2020es,0.080283
ZTF20aadfyjl,SN2020hz,0.049
ZTF20aadvaoi,SN2020zk,0.09
ZTF20aadvunl,SN2020to,0.06
ZTF20aadxvfj,SN2020pf,0.095
ZTF20aaeopvv,SN2020pb,0.06
ZTF20aaepsqa,SN2020pz,0.04717
ZTF20aaerqjd,SN2020us,0.09
ZTF20aaerxsd,SN2020py,0.053455
ZTF20aaesewy,SN2020se,0.031789
ZTF20aaeszsm,SN2020uk,0.067
ZTF20aaetvkh,SN2020ti,0.061
ZTF20aaeujsk,SN2020aqo,0.067
ZTF20aaeuxqk,SN2020ut,0.0
ZTF20aaevbvv,SN2020tn,0.06
ZTF20aaezaxk,SN2020zn,0.07
ZTF20aaezizk,SN2020wd,0.094
ZTF20aafcgca,SN2020un,0.08
ZTF20aafciit,SN2020wv,0.08
ZTF20aafcjln,SN2020vf,0.020316
ZTF20aafcmfi,SN2020vj,0.086
ZTF20aafcnem,SN2020aek,0.04
ZTF20aaffgwg,SN2020zr,0.039811
ZTF20aafjjqj,SN2020zz,0.04
ZTF20aaflaug,SN2020aei,0.05065
ZTF20aafrihv,SN2020ady,0.064
ZTF20aafrjqw,SN2020abu,0.088227
ZTF20aafsnpp,SN2020zi,0.044201
ZTF20aafvzhu,SN2020aar,0.055
ZTF20aafzcab,SN2020akz,0.08
ZTF20aagfjlj,SN2020aai,0.045
ZTF20aaghlkv,SN2020ags,0.02
ZTF20aaghnxd,SN2020alf,0.07
ZTF20aaghoqz,SN2020aqj,0.0761
ZTF20aaghpdc,SN2020aan,0.086
ZTF20aaglivt,SN2020afb,0.066483
ZTF20aagloch,SN2020ago,0.0483
ZTF20aagnbpw,SN2020afj,0.052441
ZTF20aagvvnr,SN2020agm,0.07
ZTF20aahaxjl,SN2020amt,0.045
ZTF20aahdwze,SN2020amx,0.049
ZTF20aahfobk,SN2020aoi,0.03308
ZTF20aahggbm,SN2020axo,0.1
ZTF20aahjymt,SN2020bbi,0.07
ZTF20aahkgcz,SN2020axk,0.04113
ZTF20aahmvfw,SN2020bdq,0.04
ZTF20aahptds,SN2020awr,0.07656
ZTF20aahpwym,SN2020asq,0.055
ZTF20aahpxzz,SN2020asa,0.052822
ZTF20aahqbib,SN2020ase,0.0549
ZTF20aahqcup,SN2020ass,0.1
ZTF20aahzyep,SN2020bli,0.1
ZTF20aahzyml,SN2020atv,0.08
ZTF20aaiawlj,SN2020avg,0.036705
ZTF20aaichor,SN2020azn,0.14
ZTF20aaifkyj,SN2020bec,0.0732
ZTF20aaifsri,SN2020akj,0.07
ZTF20aaifyrs,SN2020awa,0.03386
ZTF20aaifyvz,SN2020bev,0.06
ZTF20aairvsi,SN2020bja,0.07
ZTF20aaispgr,SN2024abwj,0.075
ZTF20aaivjce,SN2020bdf,0.035
ZTF20aaivvwa,SN2020blz,0.1
ZTF20aajbsxt,SN2020bua,0.07
ZTF20aajjxwc,SN2020btv,0.04
ZTF20aakbtyz,SN2020bjg,0.09
ZTF20aakfofq,SN2020bol,0.08
ZTF20aaknzba,SN2020bqi,0.11
ZTF20aakxwgy,SN2022vtk,0.05
ZTF20aakyoez,SN2020bpi,0.041
ZTF20aakyqlh,SN2017bde,
ZTF20aalejtl,SN2020bqr,0.062923
ZTF20aaljgcp,SN2020buv,0.08
ZTF20aalmeaj,SN2020bqt,0.035
ZTF20aalrksw,SN2020bxp,0.03
ZTF20aalyeut,SN2020buq,0.0864
ZTF20aamaqak,SN2020bzb,0.0726
ZTF20aambbfn,SN2020bzv,0.043965
ZTF20aamcvyp,SN2020bxd,0.06
ZTF20aamdhut,SN2020bpz,0.04
ZTF20aamdqiz,SN2020bzc,0.086
ZTF20aamdsjv,SN2020cfb,0.0609
ZTF20aamdyal,SN2020bzd,0.11
ZTF20aamerev,SN2020cjh,0.09
ZTF20aamgdkb,SN2020cdi,0.075
ZTF20aamifit,SN2020cue,0.06
ZTF20aamiwbp,SN2020cgd,0.085
ZTF20aamknna,SN2020cqp,0.077
ZTF20aamknxn,SN2020cgb,0.0892
ZTF20aamksoq,SN2020cox,0.07882
ZTF20aamkyyx,SN2020ckd,0.049715
ZTF20aammbrw,SN2020cdp,0.063022
ZTF20aammhli,SN2020cdj,0.015
ZTF20aammicx,SN2020byb,0.08
ZTF20aammnnm,SN2020cgc,0.100637
ZTF20aamqslk,SN2020chn,0.0864
ZTF20aamsjws,SN2020cho,0.03023
ZTF20aamttmo,SN2020cpb,0.05
ZTF20aamttni,SN2020cli,0.053544
ZTF20aamwfea,SN2020ckp,0.029851
ZTF20aanafwi,SN2020cla,0.058
ZTF20aanahbq,SN2020dck,0.085
ZTF20aanaibf,SN2020cxe,0.053
ZTF20aandwrl,SN2020cot,0.09815
ZTF20aannodx,SN2020cvt,0.09
ZTF20aansktb,SN2020cpv,0.081
ZTF20aansmlm,SN2020coy,0.07
ZTF20aansmsj,SN2020cww,0.11
ZTF20aanvliy,SN2020cpf,0.083
ZTF20aanvpzo,SN2020cpt,0.036962
ZTF20aanvqhk,SN2020cpq,0.08164
ZTF20aanvsds,SN2020cxa,0.075
ZTF20aanyxvu,SN2020cvn,0.04
ZTF20aaodkvl,SN2020csx,0.025794
ZTF20aaolusw,SN2022xad,0.059
ZTF20aaowuim,SN2020czo,0.0267
ZTF20aapadwx,SN2020ddr,0.0375
ZTF20aapcmur,SN2020ddo,0.04218
ZTF20aappcup,SN2020cyz,0.11
ZTF20aappghn,SN2020czb,0.09861
ZTF20aappgod,SN2020cyp,0.076
ZTF20aascttq,SN2020dve,0.071
ZTF20aasiwcu,SN2020dvs,0.055
ZTF20aatulug,SN2020fhk,0.097
ZTF20aatxnxq,SN2020fqc,0.065
ZTF20aatzwgk,SN2020fhs,0.01438
ZTF20aaumsrr,SN2020ftl,0.0073
ZTF20aauombk,SN2020fwn,0.0389
ZTF20aauonld,SN2020hdx,0.053
ZTF20aauooag,SN2020fxm,0.075
ZTF20aauowam,SN2020fxa,0.064391
ZTF20aauqoim,SN2020gar,0.07
ZTF20aaurfcm,SN2020hec,0.09
ZTF20aaurhio,SN2020gkp,0.08
ZTF20aaurhzc,SN2020hen,0.033346
ZTF20aaurjzv,SN2020gkz,0.0396
ZTF20aaurknv,SN2020hms,0.057287
ZTF20aaurucm,SN2020gct,0.09
ZTF20aaurzce,SN2020hla,0.02744
ZTF20aausxam,SN2020hdc,0.071
ZTF20aautscv,SN2020hfx,0.0592
ZTF20aautzif,SN2020hek,0.03789
ZTF20aautzig,SN2020hgg,0.0649
ZTF20aauuiri,SN2020hbe,0.05
ZTF20aauvmix,SN2020hhh,0.1
ZTF20aauwjla,SN2020hks,0.065
ZTF20aauwjmw,SN2020hhj,0.030531
ZTF20aavdgib,SN2020hwt,0.1
ZTF20aavfwdo,SN2020hvy,0.0678
ZTF20aavhire,SN2020hfk,0.0374
ZTF20aavlzex,SN2025nmb,0.060532
ZTF20aavnnat,SN2020hyh,0.032206
ZTF20aavnnkm,SN2020hvb,0.055
ZTF20aavnnqo,SN2020hxn,0.03683
ZTF20aavnnzx,SN2020ihc,0.06
ZTF20aavpnqt,SN2020hya,0.064
ZTF20aavqfli,SN2020hzi,0.066388
ZTF20aavrkxw,SN2020iaf,0.102
ZTF20aavrloz,SN2020hyi,0.04332
ZTF20aavrukn,SN2020hyg,0.084
ZTF20aavrzha,SN2020hvq,0.019043
ZTF20aavtdxj,SN2020iab,0.09
ZTF20aavvzlw,SN2020ibv,0.07
ZTF20aavzlxm,SN2020ibs,0.0735237
ZTF20aawcjrx,SN2020ihw,0.050864
ZTF20aawmlfq,SN2020igy,0.031795
ZTF20aawoojh,SN2020ihe,0.05
ZTF20aawqywr,SN2020ilb,0.0499
ZTF20aaxablt,SN2020ipb,0.064
ZTF20aaxahpk,SN2020inz,0.070473
ZTF20aaxbvkt,SN2020iso,0.04
ZTF20aaxccrm,SN2020isu,0.09
ZTF20aaxfzhw,SN2020iyh,0.087
ZTF20aaxicpu,SN2020jdq,0.07207
ZTF20aaxmtxg,SN2020ixo,0.0999762
ZTF20aaxuwuh,SN2020jbh,0.0703465
