ZTFID,IAUID,host_redshift
ZTF19aaezwmr,SN2019anw,0.064
ZTF19aafmhcl,SN2019ano,0.068
ZTF19aafnfyc,SN2019agr,0.08
ZTF19aagmpeq,SN2019akf,0.056
ZTF19aagmsrr,SN2019aik,0.023
ZTF19aahjhoy,SN2019arb,0.013696
ZTF19aahsnmq,SN2019aux,0.06
ZTF19aailexm,SN2019avi,0.063
ZTF19aaillan,SN2019arf,0.07
ZTF19aailltc,SN2019avn,0.088
ZTF19aailqir,SN2019ari,0.05434
ZTF19aailqli,SN2019avp,0.058
ZTF19aailteb,SN2019ana,0.078
ZTF19aajwdqt,SN2019bhe,0.088
ZTF19aajwhbc,SN2019bgf,0.1
ZTF19aajxhwa,SN2019aup,0.033
ZTF19aajxwnz,SN2019bek,0.015
ZTF19aakiwxx,SN2019avx,0.045
ZTF19aakiyly,SN2019avy,0.07
ZTF19aakjbej,SN2019bgk,0.0896
ZTF19aaklbok,SN2019baj,0.08
ZTF19aakljys,SN2019aze,0.043963
ZTF19aaklqod,SN2020ctr,0.03
ZTF19aaklquv,SN2019bak,0.0486
ZTF19aaknign,SN2019bdg,0.09575
ZTF19aakocxy,SN2019beo,0.067
ZTF19aakpfax,SN2019bau,0.0799
ZTF19aaksrgj,SN2019bbd,0.0859
ZTF19aakthjl,SN2019bnu,0.06075
ZTF19aakwifv,SN2019bnx,0.083
ZTF19aakzwao,SN2019bkh,0.01951
ZTF19aalaxsa,SN2019blf,0.116
ZTF19aalcwjt,SN2019blm,0.067
ZTF19aaldqvh,SN2019bev,0.101
ZTF19aaleptm,SN2019bow,0.079
ZTF19aaljcsu,SN2019bgn,0.05
ZTF19aalpoff,SN2025hkm,0.021161
ZTF19aaluprf,SN2019btt,0.09
ZTF19aalveag,SN2019bpf,0.05
ZTF19aalxcyo,SN2019bon,0.0802
ZTF19aalxlpp,SN2019btu,0.086
ZTF19aalyleg,SN2019brb,0.071
ZTF19aalzmio,SN2019bpe,0.075
ZTF19aamaeve,SN2019btg,0.072
ZTF19aambfxc,SN2020aewj,0.055
ZTF19aamgokq,SN2019bvq,0.08
ZTF19aamgttu,SN2019bue,0.0308
ZTF19aamhhae,SN2019buj,0.04
ZTF19aamhhey,SN2019bum,0.045
ZTF19aamhhgu,SN2019bxh,0.0382
ZTF19aamhhyo,SN2019bxa,0.08
ZTF19aamhlnl,SN2019bye,0.076
ZTF19aamhqej,SN2019bvt,0.016448
ZTF19aamkywr,SN2019byw,0.03034
ZTF19aammewd,SN2019brd,0.058137
ZTF19aamooex,SN2019ceq,0.08
ZTF19aampqcq,SN2019bwm,0.0195
ZTF19aamqebl,SN2019bwr,0.09
ZTF19aamqfxq,SN2024adcz,0.038
ZTF19aamqlyl,SN2019bzl,0.03
ZTF19aamvmer,SN2019cir,0.08773
ZTF19aanbfaw,SN2019cae,0.06
ZTF19aanbojt,SN2018lqj,0.048
ZTF19aanesxt,SN2019cmh,0.046386
ZTF19aanetjx,SN2019crd,0.0531
ZTF19aaneugz,SN2019cre,0.0545
ZTF19aanfyey,SN2019cdz,0.0849
ZTF19aangier,SN2019cea,0.0604
ZTF19aanhlxe,SN2019ced,0.069
ZTF19aanhlzi,SN2019cee,0.0544
ZTF19aanircs,SN2019cnb,0.06
