ztf_id,candid,jd,ra,dec,fid,nid,magpsf,sigmapsf,magnr,sigmagnr,magzpsci,isdiffpos,ssdistnr,ssnamenr,drb,json,mjd,imjd,since_now,utc,image_urls,diffmaglim
ZTF17aabtvsy,2.147530720615015e+18,2459902.0307292,158.8837381,37.6497189,2.0,2147.0,18.842418670654297,0.10453305393457413,16.945999145507812,0.052000001072883606,26.31741714477539,t,-999.0,null,,"
  ""candid"": 2147530720615015001,
  ""jd"": 2459902.0307292,
  ""ra"": 158.8837381,
  ""dec"": 37.6497189,
  ""fid"": 2,
  ""nid"": 2147,
  ""magpsf"": 18.842418670654297,
  ""sigmapsf"": 0.10453305393457413,
  ""magnr"": 16.945999145507812,
  ""sigmagnr"": 0.052000001072883606,
  ""magzpsci"": 26.31741714477539,
  ""isdiffpos"": ""t"",
  ""ssdistnr"": -999.0,
  ""ssnamenr"": ""null"",
  ""drb"": null
",59901.530729200225,59901.0,-1167.2894612746022,2022-11-18 12:44:15,"{'Science': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59901/9fa/2147530720615015001_cutoutScience.fits', 'Template': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59901/4d2/2147530720615015001_cutoutTemplate.fits', 'Difference': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59901/6e7/2147530720615015001_cutoutDifference.fits'}",
ZTF17aabtvsy,,2459902.01,,,1.0,,20.102399826049805,,,,,,,,,"
  ""jd"": 2459902.01,
  ""fid"": 1,
  ""diffmaglim"": 20.102399826049805
",59901.50999999978,59901.0,-1167.310190475051,,,20.102399826049805
ZTF17aabtvsy,,2459899.955,,,2.0,,18.986299514770508,,,,,,,,,"
  ""jd"": 2459899.955,
  ""fid"": 2,
  ""diffmaglim"": 18.986299514770508
",59899.455000000075,59899.0,-1169.365190474753,,,18.986299514770508
ZTF17aabtvsy,,2459899.924294,,,1.0,,18.943199157714844,,,,,,,,,"
  ""jd"": 2459899.924294,
  ""fid"": 1,
  ""diffmaglim"": 18.943199157714844
",59899.424294000026,59899.0,-1169.3958964748017,,,18.943199157714844
ZTF17aabtvsy,2.143494370615015e+18,2459897.994375,158.8837505,37.6497282,1.0,2143.0,19.65049934387207,0.20129799842834473,17.840999603271484,0.05700000002980232,26.362499237060547,t,,,,"
  ""candid"": 2143494370615015002,
  ""jd"": 2459897.994375,
  ""ra"": 158.8837505,
  ""dec"": 37.6497282,
  ""fid"": 1,
  ""nid"": 2143,
  ""magpsf"": 19.65049934387207,
  ""sigmapsf"": 0.20129799842834473,
  ""magnr"": 17.840999603271484,
  ""sigmagnr"": 0.05700000002980232,
  ""magzpsci"": 26.362499237060547,
  ""isdiffpos"": ""t"",
  ""ssdistnr"": null,
  ""ssnamenr"": null,
  ""drb"": null
",59897.49437499978,59897.0,-1171.325815475051,2022-11-14 11:51:53,"{'Science': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59897/32a/2143494370615015002_cutoutScience.fits', 'Template': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59897/e71/2143494370615015002_cutoutTemplate.fits', 'Difference': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59897/71b/2143494370615015002_cutoutDifference.fits'}",
ZTF17aabtvsy,,2459897.8836921,,,2.0,,18.844499588012695,,,,,,,,,"
  ""jd"": 2459897.8836921,
  ""fid"": 2,
  ""diffmaglim"": 18.844499588012695
",59897.38369210018,59897.0,-1171.436498374649,,,18.844499588012695
ZTF17aabtvsy,2.135481190615015e+18,2459889.9811921,158.8837159,37.6497474,2.0,2135.0,18.577600479125977,0.11022700369358063,16.945999145507812,0.052000001072883606,26.2455997467041,t,,,,"
  ""candid"": 2135481190615015000,
  ""jd"": 2459889.9811921,
  ""ra"": 158.8837159,
  ""dec"": 37.6497474,
  ""fid"": 2,
  ""nid"": 2135,
  ""magpsf"": 18.577600479125977,
  ""sigmapsf"": 0.11022700369358063,
  ""magnr"": 16.945999145507812,
  ""sigmagnr"": 0.052000001072883606,
  ""magzpsci"": 26.2455997467041,
  ""isdiffpos"": ""t"",
  ""ssdistnr"": null,
  ""ssnamenr"": null,
  ""drb"": null
",59889.48119209986,59889.0,-1179.3389983749657,2022-11-06 11:32:54,"{'Science': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59889/d7a/2135481190615015000_cutoutScience.fits', 'Template': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59889/90e/2135481190615015000_cutoutTemplate.fits', 'Difference': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59889/c5d/2135481190615015000_cutoutDifference.fits'}",
ZTF17aabtvsy,2.135414520615015e+18,2459889.9145255,158.8838629,37.6495849,1.0,2135.0,19.135299682617188,0.25714901089668274,17.840999603271484,0.05700000002980232,26.183300018310547,t,,,,"
  ""candid"": 2135414520615015001,
  ""jd"": 2459889.9145255,
  ""ra"": 158.8838629,
  ""dec"": 37.6495849,
  ""fid"": 1,
  ""nid"": 2135,
  ""magpsf"": 19.135299682617188,
  ""sigmapsf"": 0.25714901089668274,
  ""magnr"": 17.840999603271484,
  ""sigmagnr"": 0.05700000002980232,
  ""magzpsci"": 26.183300018310547,
  ""isdiffpos"": ""t"",
  ""ssdistnr"": null,
  ""ssnamenr"": null,
  ""drb"": null
",59889.41452550003,59889.0,-1179.4056649747945,2022-11-06 09:56:55,"{'Science': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59889/a92/2135414520615015001_cutoutScience.fits', 'Template': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59889/879/2135414520615015001_cutoutTemplate.fits', 'Difference': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59889/072/2135414520615015001_cutoutDifference.fits'}",
ZTF17aabtvsy,2.133473910615015e+18,2459887.973912,158.8839026,37.649795,2.0,2133.0,18.619600296020508,0.09602999687194824,16.945999145507812,0.052000001072883606,26.233600616455078,t,,,,"
  ""candid"": 2133473910615015000,
  ""jd"": 2459887.973912,
  ""ra"": 158.8839026,
  ""dec"": 37.649795,
  ""fid"": 2,
  ""nid"": 2133,
  ""magpsf"": 18.619600296020508,
  ""sigmapsf"": 0.09602999687194824,
  ""magnr"": 16.945999145507812,
  ""sigmagnr"": 0.052000001072883606,
  ""magzpsci"": 26.233600616455078,
  ""isdiffpos"": ""t"",
  ""ssdistnr"": null,
  ""ssnamenr"": null,
  ""drb"": null
",59887.47391200019,59887.0,-1181.346278474637,2022-11-04 11:22:25,"{'Science': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59887/75d/2133473910615015000_cutoutScience.fits', 'Template': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59887/609/2133473910615015000_cutoutTemplate.fits', 'Difference': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59887/1cf/2133473910615015000_cutoutDifference.fits'}",
ZTF17aabtvsy,2.128518880615015e+18,2459883.0188889,158.8838081,37.6497487,1.0,2128.0,18.579500198364258,0.1021289974451065,17.840999603271484,0.05700000002980232,26.295499801635742,t,,,,"
  ""candid"": 2128518880615015002,
  ""jd"": 2459883.0188889,
  ""ra"": 158.8838081,
  ""dec"": 37.6497487,
  ""fid"": 1,
  ""nid"": 2128,
  ""magpsf"": 18.579500198364258,
  ""sigmapsf"": 0.1021289974451065,
  ""magnr"": 17.840999603271484,
  ""sigmagnr"": 0.05700000002980232,
  ""magzpsci"": 26.295499801635742,
  ""isdiffpos"": ""t"",
  ""ssdistnr"": null,
  ""ssnamenr"": null,
  ""drb"": null
",59882.51888890006,59882.0,-1186.301301574771,2022-10-30 12:27:12,"{'Science': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59882/6b9/2128518880615015002_cutoutScience.fits', 'Template': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59882/1cd/2128518880615015002_cutoutTemplate.fits', 'Difference': 'https://lasair-ztf.lsst.ac.uk/lasair/static/fits/59882/f12/2128518880615015002_cutoutDifference.fits'}",
