ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V,host_redshift
ZTF18aakiwbs,SN2020fqi,15:17:36.64,+57:11:05.9,58953.44,r,18.2404,-19.08,23.154,14.254,8.9,SN Ia,0.066,50.41794806,0.035,0.066
ZTF18aaklpdo,SN2018hvf,11:49:48.18,+25:39:01.8,58434.49,r,17.1605,-19.39,19.55,8.327,11.223,SN Ia,0.046,76.12703726,0.058,0.046
ZTF18aamvfeb,SN2022klh,15:21:19.26,+34:17:46.9,59733.3,g,16.6661,-19.07,23.207,9.25,13.957,SN Ia,0.03149,57.19048332,0.058,0.031492
ZTF18aamxads,SN2021mak,14:17:29.27,+63:17:10.5,59352.2,g,18.4508,-19.23,21.573,14.132,7.441,SN Ia,0.077,51.2170612,0.042,0.077
ZTF18aamzgzi,SN2018mef,14:54:16.42,+42:33:28.6,59971.45,g,15.2602,-19.25,>18.693,>4.02,14.673,SN Ia,0.0179,60.69561234,0.06,0.0179
ZTF18aangpkx,SN2020jbl,17:01:21.37,+32:47:09.1,58985.42,g,18.359,-19.14,18.416,11.509,6.907,SN Ia,0.0699,36.34454056,0.064,0.069948
ZTF18aanhpii,SN2019tjz,17:36:02.07,+53:09:07.1,59776.33,r,18.6264,-18.9,>1010.08,>995.19,>14.89,SN Ia,0.07,32.50286104,0.119,0.044
ZTF18aannern,SN2021bqv,15:55:01.95,+41:34:41.0,59260.5,g,16.9072,-18.95,18.621,8.976,9.645,SN Ia,0.03329,49.98992832,0.051,0.033296
ZTF18aansqom,SN2021hbg,16:44:10.83,+39:47:19.4,59309.49,r,17.4498,-18.14,24.95,12.093,12.857,SN Ia,0.03,40.71767649,0.036,0.030374
ZTF18aansqov,SN2021nro,16:44:37.28,+40:08:50.6,59372.32,r,18.4275,-19.02,22.074,9.95,12.124,SN Ia,0.07,40.65621385,0.032,0.070549
ZTF18aansqun,SN2018dyp,16:45:10.09,+42:43:04.3,58308.24,r,18.7478,-18.36,22.316,3.681,18.635,SN Ia,0.05964,40.66548247,0.04,0.05964
ZTF18aanxlcr,SN2023egq,16:54:36.57,+37:56:44.7,60042.43,r,18.085,-19.14,22.122,11.099,11.023,SN Ia,0.063,38.52600142,0.046,0.063
ZTF18aanygjk,SN2019haw,18:12:15.34,+56:37:11.7,58653.37,g,17.7299,-19.02,25.439,11.062,14.377,SN Ia,0.049,27.65038784,0.094,0.049
ZTF18aaoufjt,SN2019fyi,14:21:17.23,+35:30:31.7,58635.26,r,18.0116,-17.58,27.769,12.254,15.515,SN Ia,0.0298,69.12460983,0.05,0.0298
ZTF18aaovwbp,SN2025xfr,16:11:16.01,+37:01:44.4,60932.16,g,18.5694,-19.19,>16.482,>6.94,9.542,SN Ia,0.08,47.03021736,0.037,0.08
ZTF18aaoxrup,SN2020hdw,16:00:51.98,+56:21:09.0,58956.38,g,17.2746,-19.85,14.586,5.558,9.028,SN Ia,0.06,45.5325148,0.035,0.06
ZTF18aaqcqvr,SN2018bvg,12:55:24.66,+45:34:42.2,58257.28,r,18.2745,-19.22,26.171,11.871,14.3,SN Ia,0.07,71.533112,0.089,0.07
ZTF18aaqedfj,SN2018bff,13:45:25.21,+26:25:27.2,58242.27,r,18.1144,-19.09,27.8,4.738,23.062,SN Ia,0.0623,77.9368096,0.04,0.0623
