ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V,host_redshift
ZTF18abdiwpt,SN2018ddg,14:12:18.26,+62:38:34.7,58320.27,r,17.8692,-19.68,28.172,17.595,10.577,SN Ia,0.073,52.07090797,0.045,0.073
ZTF18abdkimx,SN2018dyq,16:31:11.00,+60:35:51.8,58312.33,g,18.4892,-19.28,21.528,8.047,13.481,SN Ia,0.08,40.41076113,0.042,0.08
ZTF18abdnffn,SN2024isl,18:37:16.00,+54:02:53.0,60455.39,r,17.4666,-19.2,26.95,13.942,13.008,SN Ia,0.0477,23.66672914,0.106,0.0477
ZTF18abdnihj,SN2025tzm,18:57:53.61,+49:55:46.9,60908.29,g,18.5241,-19.77,23.239,5.686,17.553,SN Ia,0.0953,19.43946138,0.158,0.095302
ZTF18abdrmin,SN2018der,14:48:05.63,+63:13:00.1,58315.18,g,17.8392,-18.99,22.869,6.951,15.918,SN Ia,0.05154,49.22412413,0.068,0.05154
ZTF18abeecwe,SN2018dje,17:52:50.55,+21:22:57.5,58318.27,r,17.2297,-19.15,26.407,8.452,17.955,SN Ia,0.04,22.07562312,0.228,0.04
ZTF18abeegsl,SN2018eag,18:57:16.31,+46:29:56.7,58314.41,r,18.9846,-18.61,15.841,7.527,8.314,SN Ia,0.072,18.37066544,0.127,0.072
ZTF18abespgb,SN2018dyg,14:27:12.78,+16:51:45.7,58315.24,r,18.1936,-18.54,23.694,5.693,18.001,SN Ia,0.05,65.60176016,0.062,0.05
ZTF18abetehf,SN2018dvb,15:33:56.91,+31:10:11.3,58320.17,g,18.1546,-19.19,21.743,10.311,11.432,SN Ia,0.06487,54.48449273,0.073,0.064875
ZTF18abetejo,SN2018dvd,13:54:34.54,+42:46:28.5,58311.24,g,18.2859,-19.17,>8.916,3.986,>4.93,SN Ia,0.07,69.76987746,0.029,0.07
ZTF18abetewu,SN2018dye,14:29:14.16,+46:03:03.0,58322.25,r,18.5461,-19.12,21.62,12.621,8.999,SN Ia,0.077,62.94493106,0.04,0.077
ZTF18abfbbyh,SN2022muy,19:04:49.71,+69:53:26.5,59750.32,g,18.3429,-19.57,23.997,8.524,15.473,SN Ia,0.076,24.22499413,0.252,0.076
ZTF18abfchzq,SN2022shv,18:11:30.56,+36:10:26.4,59830.17,g,18.281,-19.4,22.498,11.032,11.466,SN Ia,0.074,23.1833252,0.115,0.074
ZTF18abfdupq,SN2018fhe,19:50:48.24,+64:55:22.6,58350.38,r,18.6853,-18.95,17.548,7.158,10.39,SN Ia,0.068,18.44433453,0.335,0.068
ZTF18abfeyey,SN2021sxf,17:10:10.76,+57:17:43.5,59414.26,g,18.5231,-19.5,22.01,6.984,15.026,SN Ia,0.089,36.1081859,0.06,0.089
ZTF18abffdjl,SN2025aedq,23:18:40.20,+27:38:47.5,61003.19,r,18.4799,-19.09,>17.915,>0,>17.915,SN Ia,0.0666,-30.86932265,0.31,0.0666
ZTF18abffdpa,SN2021ygt,18:04:59.37,+34:48:35.7,59466.33,g,18.6594,-19.7,25.824,7.874,17.95,SN Ia,0.099,24.04078003,0.137,0.099
ZTF18abfgygp,SN2018ead,18:17:21.46,+54:32:14.7,58323.39,g,18.0213,-19.54,23.166,11.361,11.805,SN Ia,0.07,26.60895316,0.114,0.07
ZTF18abfhaji,SN2018dsw,17:35:14.22,+54:14:48.8,58323.39,g,18.7105,-19.42,28.263,12.011,16.252,SN Ia,0.09,32.66891213,0.123,0.09
ZTF18abfhryc,SN2018dhw,18:59:57.55,+72:16:02.2,58323.41,g,16.6437,-19.38,25.918,9.345,16.573,SN Ia,0.0323,25.10292873,0.245,0.0323
ZTF18abfwuwn,SN2018ecq,16:45:42.77,+37:53:25.5,58322.2,g,18.7403,-19.56,26.689,8.618,18.071,SN Ia,0.1,40.26420795,0.071,0.1
ZTF18abgkjff,SN2018dyz,15:10:40.47,+08:34:27.5,58331.19,r,17.2875,-19.25,26.87,9.576,17.294,SN Ia,0.045,52.23675002,0.098,0.045
ZTF18abgqkpc,SN2018dxu,14:30:09.84,+55:53:10.9,58319.21,g,18.9011,-19.54,22.799,7.837,14.962,SN Ia,0.108,56.20781398,0.045,0.108
ZTF18abgxkzx,SN2024utv,17:53:05.18,+52:49:58.7,60568.18,r,18.2554,-19.28,>37.809,10.829,>26.98,SN Ia,0.071,29.91988569,0.1,0.071
ZTF18abgxvra,SN2018efb,17:44:44.29,+38:09:50.6,58333.33,r,18.697,-19.6,27.389,16.177,11.212,SN Ia,0.1,28.85196018,0.102,0.1
ZTF18abhbqbh,SN2020kwk,15:27:41.37,+69:49:43.5,59004.27,r,18.147,-18.67,24.425,9.569,14.856,SN Ia,0.052,41.78257314,0.059,0.052
ZTF18abiczpm,SN2023gxy,18:35:39.69,+46:49:55.9,60062.47,r,18.7016,-19.51,25.685,8.011,17.674,SN Ia,0.093,21.99070087,0.188,0.093
ZTF18abifioh,SN2020dfz,16:37:51.71,+24:52:59.0,58906.52,r,18.8184,-19.55,>15.977,7.957,>8.02,SN Ia,0.103,39.51173105,0.111,0.103
ZTF18abimsyv,SN2018eni,18:19:11.77,+54:05:19.3,58332.2,g,18.4877,-19.49,24.614,8.881,15.733,SN Ia,0.085,26.26413283,0.106,0.085
ZTF18abixkjh,SN2018ecp,15:30:21.22,+27:37:46.2,58327.17,g,18.0429,-19.51,23.823,7.838,15.985,SN Ia,0.07,54.87310648,0.105,0.07
ZTF18abixrei,SN2019bfh,15:25:09.47,+31:44:30.1,58547.39,g,18.9941,-19.57,36.88,14.966,21.914,SN Ia,0.113,56.38716727,0.066,0.113
ZTF18abjgyyr,SN2018efe,20:39:39.94,+13:08:08.6,58332.34,r,17.9895,-18.94,23.874,8.362,15.512,SN Ia,0.05,-16.89465787,0.298,0.05
ZTF18abjrfqx,SN2018elj,22:08:23.38,+11:22:45.4,58340.38,r,17.5849,-18.87,22.077,10.699,11.378,SN Ia,0.04,-34.81172452,0.315,0.04
ZTF18abjstcm,SN2018ezy,18:58:52.50,+69:00:48.7,58342.33,r,18.8676,-18.96,19.806,12.443,7.363,SN Ia,0.079,24.54429896,0.168,0.079
ZTF18abjtgdo,SN2018epj,15:04:23.61,+61:37:17.2,58336.24,g,18.3637,-19.22,19.932,5.92,14.012,SN Ia,0.07393,49.02436543,0.035,0.07393
ZTF18abjtger,SN2018err,15:36:53.12,+66:03:29.3,58334.18,g,18.8615,-19.56,33.761,8.724,25.037,SN Ia,0.106,43.45829726,0.066,0.106
ZTF18abjvhec,SN2018emv,15:05:30.43,+30:54:36.8,58337.18,g,17.5469,-19.5,31.749,6.787,24.962,SN Ia,0.0569,60.55791049,0.065,0.0569
ZTF18abjwahi,SN2018emj,16:00:03.57,+23:22:50.4,58336.21,r,18.877,-19.48,35.312,13.518,21.794,SN Ia,0.1,47.43083001,0.178,0.1
ZTF18abkhcrj,SN2018emi,17:06:36.32,+24:32:43.1,58343.16,r,17.4105,-18.8,25.771,10.314,15.457,SN Ia,0.03823,33.15817212,0.141,0.03823
ZTF18abkhcwl,SN2018eml,15:46:07.10,+29:44:00.5,58343.17,g,16.4134,-19.37,23.305,8.248,15.057,SN Ia,0.03164,51.73462848,0.089,0.03164
ZTF18abkifng,SN2018ers,16:09:52.82,+65:56:18.5,58340.33,g,18.4126,-19.63,25.996,6.255,19.741,SN Ia,0.088,40.65425816,0.096,0.088
ZTF18abktphg,SN2018esa,22:41:02.81,+20:43:31.9,58343.38,g,18.2143,-19.38,23.675,11.07,12.605,SN Ia,0.07,-32.67677553,0.139,0.07
ZTF18abkudjo,SN2018eqg,15:08:14.55,+34:52:06.0,58343.17,g,18.8301,-19.25,27.186,8.195,18.991,SN Ia,0.09216,59.83879247,0.041,0.09216
ZTF18ablhvfr,SN2018fcd,15:40:11.07,+61:31:48.0,58344.16,g,18.404,-19.5,24.43,7.284,17.146,SN Ia,0.085,45.65954216,0.041,0.085
ZTF18ablmflp,SN2018etj,14:04:23.16,+60:01:28.0,58348.19,r,17.9035,-18.43,>39.423,12.503,>26.92,SN Ia,0.042,54.81761228,0.037,0.042
ZTF18ablongw,SN2018fae,17:30:42.75,+62:49:51.9,58349.24,r,18.904,-18.93,26.798,13.855,12.943,SN Ia,0.08181,33.08441983,0.076,0.08181
ZTF18ablqjul,SN2018exh,15:07:39.13,+38:12:49.1,58353.16,r,18.8398,-19.41,>39.428,14.458,>24.97,SN Ia,0.1,59.47730398,0.043,0.1
ZTF18ablqkud,SN2018fim,16:37:39.97,+25:19:15.2,58350.15,r,18.9267,-18.52,23.978,11.987,11.991,SN Ia,0.06808,39.67079349,0.098,0.06808
ZTF18ablqlzp,SN2018fbh,15:36:31.98,+41:47:59.5,58350.15,r,17.408,-18.94,24.185,9.167,15.018,SN Ia,0.0414,53.37597097,0.091,0.0414
ZTF18ablqqqp,SN2018fel,16:52:31.22,+23:23:00.6,58349.17,g,18.8149,-19.57,27.83,8.843,18.987,SN Ia,0.1,35.87889129,0.146,0.1
ZTF18ablrljh,SN2018ert,16:35:22.53,+22:28:06.3,58346.18,r,18.8561,-19.34,20.362,13.323,7.039,SN Ia,0.094,39.37171353,0.145,0.094
ZTF18abltaxf,SN2018eyh,14:54:37.12,+69:38:54.4,58344.17,g,18.2475,-18.93,21.955,4.974,16.981,SN Ia,0.06,43.89984198,0.075,0.06
ZTF18ablwtkf,SN2018ezz,18:37:51.86,+51:50:16.8,58348.34,g,17.6533,-19.31,17.72,7.016,10.704,SN Ia,0.053,23.02154253,0.13,0.053
ZTF18abmjvpb,SN2018fli,15:58:11.68,+19:45:54.6,58360.25,r,18.3411,-19.05,>25.622,12.742,>12.88,SN Ia,0.06607,46.7796055,0.109,0.066077
ZTF18abmjvuf,SN2018fio,15:21:14.35,+30:38:11.7,58353.16,r,18.8578,-18.77,19.114,10.084,9.03,SN Ia,0.075,57.1706665,0.059,0.075
ZTF18abmjyvo,SN2018fju,16:19:44.21,+50:33:06.7,58359.22,r,18.871,-18.12,25.011,16.055,8.956,SN Ia,0.05584,44.40095126,0.073,0.05584
ZTF18abmmdif,SN2018fec,18:00:35.19,+61:41:51.8,58352.35,g,18.2741,-19.42,23.343,8.336,15.007,SN Ia,0.075,29.62605707,0.099,0.075
ZTF18abmmkaz,SN2018fdz,18:15:18.53,+29:54:38.6,58352.21,g,18.092,-19.53,27.204,8.222,18.982,SN Ia,0.065,20.39485075,0.301,0.065
ZTF18abmoung,SN2018fhg,15:03:45.12,+61:34:04.4,58353.28,r,18.835,-18.48,22.537,13.654,8.883,SN Ia,0.06589,49.11686422,0.035,0.06589
ZTF18abmrhom,SN2018ffi,21:40:11.30,+21:33:30.1,58351.41,g,18.7665,-19.51,17.538,5.391,12.147,SN Ia,0.09,-22.84978078,0.243,0.09
ZTF18abmwnov,SN2018fiw,00:15:01.84,+34:48:41.1,58364.32,r,17.8225,-18.89,24.906,9.967,14.939,SN Ia,0.04777,-27.46445139,0.16,0.04777
ZTF18abmxahs,SN2018feb,17:10:11.17,+21:38:56.6,58362.21,g,15.1605,-19.06,24.363,9.007,15.356,SN Ia,0.0148,31.46021676,0.166,0.0148
ZTF18abmxdhb,SN2018fjv,16:45:29.82,+65:14:20.3,58359.14,g,18.3037,-19.19,25.653,7.597,18.056,SN Ia,0.07,37.49900101,0.062,0.07
ZTF18abmxfrc,SN2018fin,16:51:00.82,+25:52:33.5,58359.21,r,18.1032,-19.17,29.645,10.779,18.866,SN Ia,0.06,36.91758955,0.226,0.06
ZTF18abmxmsv,SN2018fhh,18:48:19.08,+30:36:25.2,58352.28,r,18.7785,-19.75,22.066,7.141,14.925,SN Ia,0.1,14.03955584,0.375,0.1
ZTF18abncimo,SN2018fjx,22:27:36.81,+22:53:43.0,58361.39,g,17.7979,-19.34,21.258,7.869,13.389,SN Ia,0.05684,-29.0949308,0.144,0.05684
ZTF18abntsgz,SN2018fiv,21:54:36.50,+18:06:55.9,58360.3,r,18.6476,-18.23,21.008,9.417,11.591,SN Ia,0.05,-27.68151689,0.23,0.05
ZTF18abnxhmc,SN2018fja,21:59:01.81,+11:06:13.1,58363.27,r,18.488,-19.28,26.302,11.283,15.019,SN Ia,0.076,-33.3555824,0.195,0.076
ZTF18abobkii,SN2018flg,16:14:46.97,+43:18:18.8,58359.22,r,18.1656,-18.94,24.114,9.15,14.964,SN Ia,0.0597,46.20098344,0.037,0.0597
ZTF18abokpvh,SN2018fnc,18:16:07.42,+70:01:04.4,58364.22,g,18.6354,-19.28,26.462,9.507,16.955,SN Ia,0.08,28.37323332,0.168,0.08
ZTF18abpamut,SN2018fqe,15:38:03.00,+51:21:37.3,58368.22,g,18.4898,-19.1,23.913,10.969,12.944,SN Ia,0.074,50.47927929,0.04,0.074
ZTF18abpaywm,SN2018fne,18:31:33.44,+49:48:58.0,58370.27,r,17.6336,-18.99,23.914,11.986,11.928,SN Ia,0.045,23.46040887,0.209,0.045
ZTF18abpmmpo,SN2018fnd,16:47:54.59,+42:58:07.7,58365.22,g,18.1241,-19.51,25.429,7.973,17.456,SN Ia,0.075,40.16995473,0.049,0.075
ZTF18abpttky,SN2018fse,17:14:14.49,+36:27:31.9,58364.2,g,18.8895,-19.06,21.079,8.086,12.993,SN Ia,0.084,34.43847666,0.101,0.084
ZTF18abqlpgq,SN2018fsf,22:40:24.66,+16:11:26.8,58364.27,g,18.8301,-19.51,23.748,8.01,15.738,SN Ia,0.09526,-36.272574,0.198,0.095268
ZTF18abquher,SN2018mqc,00:48:24.14,+08:11:25.0,61023.17,r,17.7743,-19.04,15.658,8.022,7.636,SN Ia,0.05,-54.67370007,0.159,0.05
ZTF18abqyaix,SN2020rfp,01:23:11.82,+01:00:11.9,59081.46,g,17.8618,-19.26,>22.332,8.392,>13.94,SN Ia,0.0582,-60.84868667,0.083,0.058169
ZTF18abqycit,SN2024ttf,01:26:23.83,-18:31:47.4,60555.46,g,16.7776,-19.04,23.248,11.274,11.974,SN Ia,0.03271,-78.22664703,0.054,0.032716
ZTF18abrebsb,SN2021vla,02:09:37.94,-02:47:08.1,59444.47,r,18.3116,-18.43,24.65,8.481,16.169,SN Ia,0.05,-59.30046269,0.074,0.05
ZTF18abrfccm,SN2020yxo,01:47:27.12,+00:58:03.6,59165.19,g,18.7122,-19.58,36.657,12.091,24.566,SN Ia,0.1,-58.8388123,0.071,0.1
ZTF18abrqedj,SN2018fqz,06:52:21.45,+27:28:14.6,58374.52,r,17.0771,-19.11,25.914,8.968,16.946,SN Ia,0.03674,12.32837426,0.21,0.036745
ZTF18abrzeym,SN2018ftt,17:36:27.05,+22:29:26.0,58373.15,r,18.4246,-18.69,19.487,9.493,9.994,SN Ia,0.056,26.02124853,0.216,0.056
ZTF18absdgon,SN2018frx,17:23:49.80,+46:18:05.4,58379.22,r,18.2888,-19.63,>22.102,13.122,>8.98,SN Ia,0.085,33.98853273,0.075,0.085
ZTF18absnqyo,SN2018fvw,21:02:20.24,+19:57:46.3,58379.27,r,18.0164,-18.52,>21.784,12.824,>8.96,SN Ia,0.04,-17.25010546,0.41,0.04
ZTF18absspcp,SN2018fvl,21:01:12.28,+14:29:07.5,58374.17,r,18.3805,-19.14,25.838,8.941,16.897,SN Ia,0.0658,-20.37671287,0.275,0.0658
ZTF18abtnlik,SN2018ggq,18:37:17.18,+49:08:54.1,58379.25,r,18.8506,-19.27,21.288,8.59,12.698,SN Ia,0.09,22.38548436,0.167,0.09
ZTF18abugthp,SN2019mqh,01:32:10.65,-13:59:25.0,58707.5,r,18.3974,-18.88,20.536,8.565,11.971,SN Ia,0.06443,-73.78431864,0.049,0.06443
ZTF18abwkzuc,SN2018grg,07:15:38.43,+37:34:26.6,58386.45,r,18.513,-18.91,18.765,7.715,11.05,SN Ia,0.065,20.6346022,0.195,0.065
ZTF18abxdkni,SN2018gtp,21:01:04.88,+31:02:14.3,58385.15,g,18.9437,-19.39,>20.687,5.647,>15.04,SN Ia,0.08,-9.99844792,0.513,0.08
ZTF18abxhaop,SN2021zdp,02:13:53.32,-18:09:29.3,59471.38,g,18.0239,-19.16,17.34,9.808,7.532,SN Ia,0.0598,-69.00814535,0.086,0.059805
ZTF18abxhsyn,SN2020tpu,02:24:46.49,+07:22:13.7,59123.31,r,16.7603,-19.51,23.898,12.891,11.007,SN Ia,0.03757,-48.75940409,0.259,0.03757
ZTF18abxmxbh,SN2023tpi,00:46:27.82,-20:29:46.7,60228.25,g,18.1172,-19.17,>23.67,12.65,>11.02,SN Ia,0.064,-83.27125566,0.049,0.064
ZTF18abxrqod,SN2024xra,01:52:55.56,-00:10:09.9,60602.36,r,18.2631,-19.55,24.518,9.367,15.151,SN Ia,0.08056,-59.25964777,0.091,0.080567
ZTF18abxtoqz,SN2023wqq,01:56:12.00,+01:01:59.9,60257.24,r,18.4054,-19.45,>10.098,6.038,>4.06,SN Ia,0.08249,-57.81453781,0.082,0.082495
ZTF18abxtvqc,SN2022adgh,01:50:42.84,+08:02:51.2,59936.12,g,18.4793,-19.3,22.447,6.826,15.621,SN Ia,0.073,-52.0061131,0.223,0.073
ZTF18abzzkyg,SN2022aakg,03:11:47.54,-15:46:07.1,59910.22,g,18.4256,-19.57,23.436,11.946,11.49,SN Ia,0.085,-55.56361312,0.118,0.085
ZTF18acacnmr,SN2018hfv,19:30:52.94,+40:51:23.3,58397.11,g,18.8418,-19.52,>11.367,8.357,>3.01,SN Ia,0.083,10.54507173,0.471,0.083
ZTF18acaezsx,SN2023szc,23:52:52.34,-23:19:56.3,60212.29,g,17.6258,-19.18,20.056,8.016,12.04,SN Ia,0.05118,-76.2323168,0.062,0.051182
ZTF18acbvcmw,SN2018huc,02:22:19.35,-12:09:10.9,58437.29,r,18.1333,-19.43,37.601,16.792,20.809,SN Ia,0.073,-63.96402334,0.059,0.073
ZTF18acbvgqw,SN2018htt,03:06:02.90,-15:36:41.7,58441.25,g,13.9113,-19.07,25.333,10.316,15.017,SN Ia,0.00867,-56.74296387,0.101,0.008673
ZTF18acbxmvy,SN2018hzd,23:37:00.95,+21:25:53.3,58437.23,g,17.9445,-18.89,32.303,11.435,20.868,SN Ia,0.05,-38.20962105,0.123,0.05
ZTF18acbxsap,SN2018htn,00:28:57.01,-03:38:35.6,58435.27,r,17.9546,-19.86,40.144,19.522,20.622,SN Ia,0.08,-65.90805,0.121,0.08
ZTF18acbxsge,SN2018huw,00:39:12.22,-05:12:02.5,58443.34,r,16.6615,-19.35,28.275,12.572,15.703,SN Ia,0.034,-67.87947606,0.212,0.034
ZTF18acbyyff,SN2018huz,01:57:55.93,-16:20:08.6,58435.27,r,18.0672,-19.42,19.377,17.076,2.301,SN Ia,0.07,-71.19421129,0.074,0.07
ZTF18accjdgs,SN2019ses,00:19:54.36,+15:57:40.3,58773.16,g,18.3152,-19.67,23.027,8.009,15.018,SN Ia,0.0828,-46.23646429,0.154,0.0828
ZTF18acclexy,SN2018ikm,02:20:37.64,+25:36:16.1,58434.27,g,18.556,-19.43,32.246,10.993,21.253,SN Ia,0.08,-33.06019135,0.224,0.08
ZTF18accndxn,SN2018igt,13:04:28.98,+79:03:02.1,58437.56,r,17.1889,-18.61,31.099,7.504,23.595,SN Ia,0.032,38.05789773,0.115,0.032
ZTF18accnlji,SN2018imv,09:21:12.13,+33:43:22.1,58439.37,r,18.7028,-19.32,25.41,12.172,13.238,SN Ia,0.09,44.68212824,0.055,0.09
ZTF18accrorf,SN2018hzx,01:08:39.11,+20:04:47.6,58437.23,g,17.496,-18.83,24.647,8.408,16.239,SN Ia,0.04,-42.60802271,0.107,0.04
ZTF18accsawg,SN2018ihj,00:49:45.36,-10:09:25.3,58447.32,r,18.8086,-19.48,>27.25,18.38,>8.87,SN Ia,0.1,-73.02422045,0.091,0.1
ZTF18accwjiu,SN2018icr,10:26:30.94,+15:20:27.0,58442.41,r,16.9998,-18.86,26.5,9.87,16.63,SN Ia,0.03282,54.38621376,0.118,0.03282
ZTF18acdwuhy,SN2021zem,18:51:10.51,+64:30:56.8,59489.27,r,18.5504,-19.28,23.862,11.567,12.295,SN Ia,0.08,24.33428383,0.137,0.08
ZTF18acdyypo,SN2018jrv,00:48:03.08,+16:00:58.0,58468.3,g,17.5302,-19.35,23.648,10.849,12.799,SN Ia,0.0502,-46.84778808,0.153,0.050269
ZTF18aceexmi,SN2018iqa,07:43:28.14,+15:33:10.6,58441.38,r,18.8768,-19.39,31.323,11.876,19.447,SN Ia,0.1,18.37603132,0.065,0.1
ZTF18acefhxx,SN2018isv,09:38:42.81,+09:04:58.4,58439.39,r,18.9824,-18.83,>22.04,>13.91,>8.13,SN Ia,0.08,41.14505945,0.116,0.08
ZTF18acefxko,SN2018ilf,08:36:45.61,+13:28:13.5,58443.46,r,18.0828,-19.14,27.837,11.938,15.899,SN Ia,0.06,29.34805191,0.168,0.06
ZTF18acemhyb,SN2018iko,07:56:34.14,+30:10:35.7,58435.51,r,18.0259,-18.93,23.318,6.666,16.652,SN Ia,0.054,26.41861045,0.13,0.054
ZTF18aceyjco,SN2018isb,12:20:10.60,+52:37:54.0,58440.47,g,18.6544,-19.23,23.795,8.466,15.329,SN Ia,0.08329,63.83700844,0.061,0.08329
ZTF18aceynvm,SN2018iqt,10:15:30.15,+37:59:00.0,58447.54,r,17.9717,-18.91,25.471,11.277,14.194,SN Ia,0.054,55.68027412,0.039,0.054
ZTF18acfwmqj,SN2018ikb,02:21:46.45,+31:42:50.7,58441.27,g,18.1897,-18.86,30.913,8.281,22.632,SN Ia,0.053,-27.34437289,0.195,0.053
ZTF18achxcsh,SN2019bwh,08:02:46.48,+62:42:54.9,58562.2,g,18.5074,-19.11,21.175,3.421,17.754,SN Ia,0.07,32.01919574,0.158,0.07
ZTF18acjxyak,SN2021efe,18:44:34.18,+33:43:18.6,59291.47,r,18.1069,-19.07,27.483,17.458,10.025,SN Ia,0.0585,15.98156104,0.181,0.0585
ZTF18acmyxfx,SN2018itr,04:30:18.82,-05:42:11.1,58447.38,r,18.459,-18.73,34.53,6.563,27.967,SN Ia,0.06,-33.83580646,0.123,0.06
ZTF18acnbenl,SN2018itn,11:19:59.81,+61:58:55.0,58450.47,g,18.1857,-19.1,23.092,11.705,11.387,SN Ia,0.065,51.97836236,0.021,0.065
ZTF18acnbeuu,SN2018iuo,09:29:41.35,+49:12:45.0,58455.53,r,18.6398,-19.65,30.207,17.264,12.943,SN Ia,0.102,45.68782011,0.037,0.102
ZTF18acnnxor,SN2018iqk,11:41:25.16,+10:20:21.9,58441.56,r,18.5089,-19.3,24.897,6.836,18.061,SN Ia,0.08,66.46720682,0.106,0.08
ZTF18acpeemg,SN2018iuv,12:09:08.19,+14:51:34.2,58443.48,r,18.6887,-19.09,>18.621,>2.93,15.691,SN Ia,0.079,74.2700366,0.103,0.079
ZTF18acptgzz,SN2018iyx,04:33:32.45,-01:38:51.0,58450.4,g,18.815,-19.35,23.215,8.037,15.178,SN Ia,0.09,-31.10891744,0.153,0.09
ZTF18acpuxuh,SN2018jeb,04:13:55.03,-06:16:36.1,58450.4,g,18.6555,-19.76,26.454,9.154,17.3,SN Ia,0.099,-37.67150948,0.185,0.099
ZTF18acqnzso,SN2022zwu,08:43:17.25,+52:45:29.1,59895.32,g,17.6448,-19.51,34.316,6.876,27.44,SN Ia,0.05874,37.99200595,0.094,0.058749
ZTF18acqqyah,SN2018iuu,11:27:21.22,+59:37:48.2,58461.47,g,15.3696,-19.02,23.335,11.371,11.964,SN Ia,0.01706,54.43241947,0.045,0.01706
ZTF18acqsfxh,SN2018izc,09:29:21.92,+54:00:27.9,58455.48,r,18.5891,-17.74,28.341,12.009,16.332,SN Ia,0.04184,44.54685234,0.043,0.04184
ZTF18acqsztr,SN2020jir,13:34:41.94,+08:08:33.4,58991.3,g,18.4969,-19.41,>19.936,13.976,>5.96,SN Ia,0.0835,68.42712363,0.082,0.083589
ZTF18acqxsyi,SN2018ize,09:39:28.61,+26:55:56.7,58455.48,r,18.3452,-18.91,26.56,11.117,15.443,SN Ia,0.0636,47.52424501,0.054,0.0636
ZTF18acrcizr,SN2018jfh,01:23:18.95,+22:11:50.9,58456.21,r,17.7949,-18.78,24.566,8.616,15.95,SN Ia,0.045,-40.07570418,0.148,0.045
ZTF18acrdmmw,SN2018jfb,11:27:27.26,+33:37:02.3,58461.47,g,17.3002,-19.45,23.331,7.565,15.766,SN Ia,0.05,70.80178642,0.055,0.05
ZTF18acrgunw,SN2018joe,09:12:48.50,+36:13:41.0,58461.52,r,18.2998,-19.72,27.817,10.02,17.797,SN Ia,0.09,43.21859585,0.046,0.09
ZTF18acrknyn,SN2018jef,04:45:31.02,+73:54:59.5,58456.27,r,18.6762,-19.07,40.149,9.162,30.987,SN Ia,0.07,18.02213845,0.393,0.07
ZTF18acrlmvt,SN2018jjp,04:31:45.54,+79:27:01.8,58462.3,r,18.2989,-20.0,30.083,11.93,18.153,SN Ia,0.092,20.79378821,0.329,0.092
ZTF18acrncou,SN2018jgz,09:34:58.54,+32:05:31.4,58471.53,r,17.9406,-19.82,45.139,16.157,28.982,SN Ia,0.08,47.3725301,0.053,0.08
ZTF18acrxppd,SN2018jfn,10:26:03.38,+64:50:12.0,58464.49,g,16.8325,-19.28,20.558,6.844,13.714,SN Ia,0.03781,45.84981468,0.031,0.03781
ZTF18acskxpn,SN2018mcn,02:51:50.96,+43:36:53.4,59848.48,r,18.3204,-18.76,>19.063,>9.14,9.923,SN Ia,0.054,-14.05758543,0.272,0.054
ZTF18acslbve,SN2018jpk,01:36:14.54,+16:42:04.9,58475.15,r,18.3505,-18.55,29.2,17.005,12.195,SN Ia,0.05,-44.84272641,0.26,0.05
ZTF18acslpba,SN2018jpn,02:44:08.21,-09:27:05.9,58462.27,r,16.8495,-18.78,21.683,6.755,14.928,SN Ia,0.03013,-58.07753332,0.066,0.03013
ZTF18acsofdh,SN2018jrk,07:31:50.59,+77:36:19.4,58465.22,g,18.1978,-19.63,22.803,9.686,13.117,SN Ia,0.08,28.61111608,0.09,0.08
ZTF18acsohut,SN2018jok,06:40:10.32,+54:04:45.0,58464.33,g,18.9257,-19.51,20.547,5.509,15.038,SN Ia,0.1,20.09726106,0.189,0.1
ZTF18acspjqd,SN2018joo,07:17:31.10,+37:41:49.2,58471.27,r,18.4265,-19.47,32.858,16.473,16.385,SN Ia,0.08,21.02607403,0.209,0.08
ZTF18acsremz,SN2021hmc,09:54:30.59,+53:10:08.6,59316.32,g,16.163,-19.04,23.201,10.275,12.926,SN Ia,0.02513,48.35221587,0.023,0.025136
ZTF18acsxpmp,SN2018jsx,00:40:42.94,+30:02:45.9,58464.27,r,18.5102,-19.21,37.271,15.691,21.58,SN Ia,0.076,-32.76808051,0.143,0.076
ZTF18acsxusq,SN2018jjn,01:13:26.71,+14:28:53.3,58462.28,r,18.1024,-18.96,27.864,10.887,16.977,SN Ia,0.056,-48.04879076,0.155,0.056
ZTF18acsyanq,SN2018jpo,01:23:50.92,+10:51:32.3,58472.17,g,17.5958,-19.67,21.034,10.465,10.569,SN Ia,0.06,-51.20758741,0.155,0.06
ZTF18acsyzca,SN2018jky,03:26:02.14,-17:33:46.5,58468.27,r,15.3306,-18.76,18.333,6.246,12.087,SN Ia,0.01458,-53.15490403,0.121,0.01458
ZTF18acuefvt,SN2018jos,10:02:34.73,+25:01:40.8,58471.53,r,18.5198,-19.15,29.686,12.784,16.902,SN Ia,0.07557,52.20133883,0.095,0.07557
ZTF18acuixmb,SN2018jsy,02:19:15.55,+16:45:39.7,58476.3,r,18.1938,-19.03,25.348,13.467,11.881,SN Ia,0.057,-41.21421395,0.307,0.057
ZTF18acurlbj,SN2018jnf,11:50:42.76,+24:41:23.1,58471.51,g,17.4473,-19.32,25.905,12.055,13.85,SN Ia,0.05,76.13785582,0.067,0.05
